customer_id,number_of_orders,Days in firstorder,Days in second_order,Days in third_order,Days in lastorder,days_since_last_order,average_ind_order_frequency,stages,stages_week_overtime,City,internalData__segmentation,final_group_median,group_avg_no_zeros,stages_by_groups,internalData__gender,average_order_frequency,female,days_since_firstorder,churn_group,berlin,churn_ind
54cffeedd3cde8265ae065e9,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54d019f1d3cde8215ae065de,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d09482d3cde87b20e065a3,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d09606d3cde85220e0661d,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0a286d2cde8a8483ef133,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0a9cdd3cde83b20e066e0,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0b6a3d3cde8d451e0656e,1,2/8/2015,NA,NA,2/8/2015,386,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,386,1,0,1
54d0bab8d2cde8c6223eefe5,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0bf0fd3cde8c05c5df21d,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0ee83d2cde8876b76001e,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d0fa9fd3cde84c01ffb571,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d10d6cd2cde8896b760053,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d125d0d2cde88a6b7600c4,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d13f13d3cde84701ffb5dd,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d14b1dd2cde88b6f75ffd9,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d15067d2cde8d06e75ffdd,1,2/3/2015,NA,NA,2/3/2015,391,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,391,1,0,1
54d16637d3cde80266ffb509,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
54d16e65d2cde8c16e75fff2,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
547daadfd4cde8c4750d9c46,1,12/2/2014,NA,NA,12/2/2014,454,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,454,1,0,1
54d21cfcd2cde8c72b5136ec,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
54d22d75d2cde8c72b513705,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
54d23fbdd3cde8a36d033282,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
56ced070d4cde8b011b34136,1,2/25/2016,NA,NA,2/25/2016,4,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,4,0,0,0
56cf5b49d2cde8e65c3ec7bb,1,2/25/2016,NA,NA,2/25/2016,4,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,4,0,0,0
56d1995bd2cde855473ec721,1,2/27/2016,NA,NA,2/27/2016,2,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,2,0,0,0
56d22694d4cde8a831ad46f2,1,2/27/2016,NA,NA,2/27/2016,2,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,2,0,0,0
56d36e81d4cde8b106ad47a1,1,2/28/2016,NA,NA,2/28/2016,1,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,1,0,0,0
54d2a05ed2cde87a30513733,1,2/4/2015,NA,NA,2/4/2015,390,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,390,1,0,1
54d31d05d2cde81a0a51367f,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d31ee1d2cde88d0951366d,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d32800d3cde816730332b4,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d33593d2cde8f0095136c6,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d33e19d3cde8d9730332d4,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d36410d2cde8d4065136cd,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d37486d2cde895085136e1,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d39625d3cde8d6300332c8,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d3a7a0d2cde8ed3c5136cc,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d3a95dd3cde804310332fc,1,2/5/2015,NA,NA,2/5/2015,389,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,389,1,0,1
54d49ecad3cde8e3450332a9,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d4b902d2cde8d123513690,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d4bdc5d2cde8f82351367e,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d4d462d2cde8f8235136aa,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d4e5c7d3cde8212bd30f56,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d5e11ad2cde80146a90441,1,2/7/2015,NA,NA,2/7/2015,387,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,387,1,0,1
54d5ec0ad3cde8222ed30f78,1,2/7/2015,NA,NA,2/7/2015,387,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,387,1,0,1
54d64106d2cde8dc45a90557,1,2/7/2015,NA,NA,2/7/2015,387,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,387,1,0,1
54d67541d3cde8de26d30f65,1,2/7/2015,NA,NA,2/7/2015,387,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,387,1,0,1
54d71d1fd3cde89426d30fbd,1,2/8/2015,NA,NA,2/8/2015,386,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,386,1,0,1
54d7479fd2cde8185ea904bc,1,2/8/2015,NA,NA,2/8/2015,386,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,386,1,0,1
